Experiment,Model×Hyperparameter,Subject,N_Folds,Mean_Accuracy,Median_Accuracy,Min_Accuracy,Max_Accuracy,Std_Dev,N_Correctly_Classified,Pct_Correctly_Classified,Fold_Accuracies,Fold_IDs
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-14,1,0.6766,0.6766,0.6766,0.6766,0.0000,1,100.00,0.6766,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-15,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-16,2,0.6668,0.6668,0.6555,0.6780,0.0159,2,100.00,0.6780;0.6555,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65;sub-7_sub-13_sub-16_sub-43_sub-51_sub-54
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-17,2,0.6647,0.6647,0.6525,0.6770,0.0173,2,100.00,0.6525;0.6770,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60;sub-17_sub-35_sub-36_sub-50_sub-55_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-18,1,0.6951,0.6951,0.6951,0.6951,0.0000,1,100.00,0.6951,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-19,1,0.6589,0.6589,0.6589,0.6589,0.0000,1,100.00,0.6589,sub-19_sub-28_sub-30_sub-59_sub-60_sub-62
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-2,1,0.6251,0.6251,0.6251,0.6251,0.0000,1,100.00,0.6251,sub-2_sub-8_sub-32_sub-48_sub-63_sub-65
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-20,2,0.6891,0.6891,0.6780,0.7001,0.0156,2,100.00,0.6780;0.7001,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65;sub-13_sub-20_sub-26_sub-48_sub-57_sub-58
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-21,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-22,1,0.6331,0.6331,0.6331,0.6331,0.0000,1,100.00,0.6331,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58
