feature,group,mean,std,median,min,max,q25,q75
feature_13,alz,0.0636275606166505,0.0453571220797832,0.05137995305723637,0.003372507816600369,0.4196435537992904,0.032359478944885556,0.0810815288241131
feature_13,cntrl,0.056070066697040684,0.03872355486869233,0.046172831937935414,0.0012798243946631855,0.45734979392237596,0.02922190380611939,0.07162959216656395
feature_14,alz,0.022354384308472593,0.02172415291960242,0.016421409031711878,0.001197460194408386,0.5641902011720221,0.010029521107483685,0.02721248625115072
feature_14,cntrl,0.03291556931518133,0.03545526782563931,0.02191872354434421,0.0008959046853260019,0.5906495623912751,0.012325523023746966,0.03956670067295319
feature_15,alz,0.005814700108279944,0.005181763923350387,0.004429489756150439,0.00035612714717780865,0.11544360858996651,0.0028126014380738325,0.00702723667731744
feature_15,cntrl,0.006134590808401627,0.004719938001292448,0.004924518066510238,0.00027231236193205494,0.11626250253881444,0.0031645327876290144,0.007679546968824955
feature_16,alz,0.9187751030702284,0.05629325449476693,0.9319636053044654,0.10027003019111508,0.9939146957152536,0.897531372859006,0.956088854928234
feature_16,cntrl,0.9172834683532206,0.05557344470334733,0.9316484819049624,0.18250156690989403,0.9942052597036626,0.8942271732347472,0.9552678406882094
feature_17,alz,0.05782651185274495,0.04033760421744114,0.04747872032190999,0.0035796078589561625,0.68546198525747,0.029787509968695863,0.07372077651863947
feature_17,cntrl,0.05494778818432141,0.03787468192004688,0.0449099639525436,0.0031050361750271996,0.43380689119052557,0.028707741298404213,0.07046697012862232
feature_18,alz,0.018864486293546718,0.020786325165434518,0.014168241015509175,0.0009508277978846732,0.7170253476128003,0.008753118107309037,0.022687543888784377
feature_18,cntrl,0.022901390325137022,0.023738445980250253,0.016425617270000182,0.000989146890863951,0.66031317203853,0.009899518519579466,0.027546355126088433
feature_19,alz,0.004533898783479932,0.0048054093230351725,0.003517599095655116,0.0003193981239417917,0.16819581901300487,0.002285049110088603,0.0054055470667344115
feature_19,cntrl,0.004867353137320883,0.00397275558404601,0.00393274965328444,0.00027686096162647455,0.13391790098263978,0.002585210678299919,0.006071841716605606
feature_20,alz,0.9186528781638753,0.05654463571421874,0.9321811226893263,0.08850494777482094,0.9939268403119553,0.8968022619892209,0.956445548833339
feature_20,cntrl,0.9177131871889629,0.05511931950542128,0.9316391073806912,0.19937108925952915,0.9943324850194741,0.895622104311451,0.9551511009352063
feature_21,alz,0.05786652711471119,0.04048659987028364,0.047549437214388666,0.0031487540352136694,0.6798338954060335,0.029712557384640178,0.07435542330328065
feature_21,cntrl,0.05494115338280627,0.03809381462574329,0.04502023306275694,0.0037451215108723727,0.45514690825114856,0.02862863357553843,0.070199328125407
feature_22,alz,0.0189305638558455,0.02115306430303721,0.01414521875394014,0.0004861518464675086,0.7132223355788191,0.008800378126134623,0.022887180708676985
feature_22,cntrl,0.022473588809954332,0.023170982321994993,0.016281069298998162,0.0009307775740922427,0.6469892102538833,0.009894879330957729,0.02719101026586401
feature_23,alz,0.004550030865568095,0.004811598205247744,0.00352898078718875,0.00026077565441593776,0.16143896877487557,0.0022865633220920936,0.005422747209996885
feature_23,cntrl,0.004872070618276547,0.003949991622646503,0.003935795031556249,0.00030050861420254793,0.12825396794126875,0.002585953768821359,0.006044013640205339
feature_24,alz,0.9057615622912041,0.06521957464366408,0.921862421351551,0.06770944831867966,0.9925205934704583,0.8798342283990137,0.9502616141286395
feature_24,cntrl,0.8829195122172961,0.0847240792559991,0.9066810138932869,0.19143843654861656,0.9928982040317644,0.850188971538457,0.9417424278256008
feature_25,alz,0.06156436400362476,0.042569329073800025,0.0507460772418881,0.0016906047076439097,0.49236751933558554,0.031689544491171756,0.07907249546828748
feature_25,cntrl,0.057247612005230784,0.03941192316995458,0.04699963641352586,0.003272575629184137,0.43270218541248495,0.030030937194123433,0.07297490114544514
feature_26,alz,0.027802707674313604,0.033922544400725875,0.018116697434295174,0.000638532906861798,0.7438634753791469,0.010608014190633067,0.03222848751134072
feature_26,cntrl,0.05381157844553934,0.059983351069297475,0.0328571268535207,0.001492962739060452,0.6907159729751217,0.016729566191291262,0.06706763146853216
feature_27,alz,0.004871366030857488,0.0042775550641700934,0.0038030776311720007,0.0003191806215742365,0.07647365375317014,0.00246945330539977,0.005842828946080562
feature_27,cntrl,0.006021297331933782,0.004208180729632369,0.004907538565808562,0.0002771416325554646,0.05274789300848593,0.0032031432220149124,0.00761077576222173
feature_28,alz,0.9056204665837301,0.06582559311347941,0.9223038696439578,0.06613038126409387,0.9913909769798045,0.8801066020939886,0.9506830425581778
feature_28,cntrl,0.8913695607211058,0.07563992838620841,0.9116091692813649,0.20034219769215922,0.9944981596823245,0.8597545942122728,0.9441087772467931
feature_29,alz,0.06109497050205644,0.042565990744607346,0.050037928830212894,0.0034316570500283277,0.4289143394226851,0.03142357055253669,0.07838145996610592
feature_29,cntrl,0.055941418885219495,0.03816889182154948,0.0461149542653365,0.0033741839165634517,0.5035022825696477,0.029392397543549602,0.07160811706578514
feature_30,alz,0.02850684089766262,0.03519640837983922,0.017950265132720022,0.0005315547493122367,0.6774614737792863,0.010596958433980378,0.032122656093921925
feature_30,cntrl,0.04695986451744499,0.04986701892008753,0.029543730858161293,0.0011440471397329642,0.6696169638563098,0.0155461738701986,0.060117857021762505
feature_31,alz,0.004777722016550837,0.003942592842529252,0.0037681566177728094,0.0002735700714500401,0.07829385106922888,0.0024536523039543736,0.0058054263521465
feature_31,cntrl,0.005729155876229643,0.004270364132955933,0.004647378580437126,0.00032423474472463684,0.08135535273990697,0.002993789094281907,0.007188121137859774
feature_32,alz,0.8898157669256942,0.07843804418662156,0.9109691064748656,0.07446656170632227,0.9920736697259105,0.8594278767609567,0.9433924730777123
feature_32,cntrl,0.8378195632856223,0.12063002202946772,0.8728552080637764,0.051188606708719504,0.995354863639659,0.7842033351346666,0.9252540569359157
feature_33,alz,0.06557357589301917,0.04563686916944523,0.05355394192413522,0.0036298813300299918,0.4244448237017799,0.03365315209478348,0.08452136995715531
feature_33,cntrl,0.059865371012698454,0.04207955731524134,0.04909338773704055,0.003362460140618494,0.4189807731228262,0.031204190173289594,0.07582803624370929
feature_34,alz,0.038898521240922995,0.05037096995301796,0.02246943315935235,0.001511217506261583,0.7358778269774381,0.012885307832146411,0.043426483947347876
feature_34,cntrl,0.09512791051026527,0.10112164398742379,0.05851864713727054,0.0009925101380642198,0.8933170385378084,0.02381009262570155,0.13151213610117618
feature_35,alz,0.005712135940363735,0.004738551810895503,0.004519421960926006,0.00034832317906182206,0.12406378190966447,0.0029417853570268496,0.006955135985896254
