Subject,Fold,Model,Accuracy
sub-11,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49,MLP_(Neural_Network),0.7947
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,KNN,0.5567
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,XGBoost,0.5586
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,SVM,0.5013
sub-11,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59,MLP_(Neural_Network),0.6892
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,KNN,0.7259
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,XGBoost,0.5376
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,SVM,0.7310
sub-11,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47,MLP_(Neural_Network),0.5650
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,KNN,0.7592
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,XGBoost,0.8053
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,SVM,0.8200
sub-11,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56,MLP_(Neural_Network),0.7791
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,KNN,0.7228
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,XGBoost,0.6855
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,SVM,0.7128
sub-11,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64,MLP_(Neural_Network),0.6921
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,KNN,0.7342
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,XGBoost,0.6961
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,SVM,0.7474
sub-11,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,MLP_(Neural_Network),0.7425
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,KNN,0.6456
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,XGBoost,0.4865
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,SVM,0.5879
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,KNN,0.7752
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,XGBoost,0.7558
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,SVM,0.8268
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,MLP_(Neural_Network),0.7759
sub-13,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,KNN,0.7665
sub-13,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,XGBoost,0.6792
