Subject,Fold,Model,Accuracy
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.5896
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.4526
sub-40,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.4730
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.5491
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.5014
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5050
sub-41,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.5617
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.5340
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.5896
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.4526
sub-41,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.4730
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.5491
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.5014
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5050
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.5617
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.5340
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.5896
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.4526
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.4730
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.4935
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.5225
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.4785
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6177
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.5491
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.5014
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5050
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.5617
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.4935
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.5225
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.4785
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6177
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.4935
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.5225
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.4785
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.6177
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.4876
