Subject,Fold,Model,Accuracy
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,SVM,0.9214
sub-12,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,XGBoost,0.7460
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,KNN,0.6109
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,SVM,0.9375
sub-12,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,XGBoost,0.5988
sub-13,sub-13_sub-20_sub-26_sub-48_sub-57_sub-58,KNN,0.7876
sub-13,sub-13_sub-20_sub-26_sub-48_sub-57_sub-58,MLP_(Neural_Network),0.7297
sub-13,sub-13_sub-20_sub-26_sub-48_sub-57_sub-58,SVM,0.8571
sub-13,sub-13_sub-20_sub-26_sub-48_sub-57_sub-58,XGBoost,0.6236
sub-13,sub-13_sub-20_sub-33_sub-41_sub-48_sub-61,KNN,0.7992
sub-13,sub-13_sub-20_sub-33_sub-41_sub-48_sub-61,MLP_(Neural_Network),0.6699
sub-13,sub-13_sub-20_sub-33_sub-41_sub-48_sub-61,SVM,0.8996
sub-13,sub-13_sub-20_sub-33_sub-41_sub-48_sub-61,XGBoost,0.5618
sub-13,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,KNN,0.7722
sub-13,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,MLP_(Neural_Network),0.8205
sub-13,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,SVM,0.9961
sub-13,sub-2_sub-13_sub-36_sub-54_sub-57_sub-59,XGBoost,0.6274
sub-13,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,KNN,0.6622
sub-13,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,MLP_(Neural_Network),0.6969
sub-13,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,SVM,0.9961
sub-13,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,XGBoost,0.5618
sub-13,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,KNN,0.7568
sub-13,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,MLP_(Neural_Network),0.8282
sub-13,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,SVM,0.9961
sub-13,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,XGBoost,0.6718
sub-14,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65,KNN,0.8430
sub-14,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65,MLP_(Neural_Network),0.9533
sub-14,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65,SVM,0.9776
sub-14,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65,XGBoost,0.9533
sub-14,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61,KNN,0.8131
sub-14,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61,MLP_(Neural_Network),0.9290
sub-14,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61,SVM,0.9850
sub-14,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61,XGBoost,0.8579
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,KNN,0.8953
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,MLP_(Neural_Network),0.9925
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,SVM,0.9682
sub-14,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65,XGBoost,0.8860
sub-14,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,KNN,0.8430
sub-14,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,MLP_(Neural_Network),0.9607
sub-14,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,SVM,0.9963
sub-14,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,XGBoost,0.8280
sub-14,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,KNN,0.7944
sub-14,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,SVM,0.9944
sub-14,sub-7_sub-14_sub-22_sub-39_sub-40_sub-49,XGBoost,0.9364
sub-15,sub-15_sub-21_sub-36_sub-38_sub-61_sub-63,KNN,0.6132
sub-15,sub-15_sub-21_sub-36_sub-38_sub-61_sub-63,MLP_(Neural_Network),0.6132
sub-15,sub-15_sub-21_sub-36_sub-38_sub-61_sub-63,SVM,0.7416
sub-15,sub-15_sub-21_sub-36_sub-38_sub-61_sub-63,XGBoost,0.7297
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,KNN,0.6064
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,MLP_(Neural_Network),0.7264
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,SVM,0.7601
sub-15,sub-15_sub-24_sub-26_sub-41_sub-52_sub-53,XGBoost,0.9054
