experiment,experiment_dir,experiment_type,feature_set,holdout_size_P,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy,test_f1,test_precision,test_recall,source_file
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,task_MLP_(Neural_Network)_48_6858,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",0.5844998292932742,0.8289513046368622,0.5843062924065172,0.5842796934977619,0.5844998292932742,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-9_sub-12_sub-28_sub-44_sub-45_sub-51/task_MLP_(Neural_Network)_48_6858/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-9_sub-12_sub-28_sub-44_sub-45_sub-51,task_MLP_(Neural_Network)_48_7568,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",0.5322635711847047,0.8856905434601962,0.5310453335145435,0.5345260817435357,0.5322635711847047,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-9_sub-12_sub-28_sub-44_sub-45_sub-51/task_MLP_(Neural_Network)_48_7568/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,task_MLP_(Neural_Network)_49_6123,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",0.6375193798449612,0.8012017858941219,0.6373229368786929,0.6372944232073032,0.6375193798449612,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-9_sub-31_sub-36_sub-42_sub-45_sub-53/task_MLP_(Neural_Network)_49_6123/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,task_MLP_(Neural_Network)_49_6858,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",0.6127131782945736,0.8281580449159086,0.6128175057553295,0.613066105947178,0.6127131782945736,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-9_sub-31_sub-36_sub-42_sub-45_sub-53/task_MLP_(Neural_Network)_49_6858/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53,task_MLP_(Neural_Network)_49_7568,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",0.5534883720930233,0.8877437980462587,0.5450260934306365,0.5644631932268667,0.5534883720930233,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-9_sub-31_sub-36_sub-42_sub-45_sub-53/task_MLP_(Neural_Network)_49_7568/results.json
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,KNN,sub-11_sub-54,task_KNN_0_3824,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7526539278131635,0.8885944125717137,0.7504238594290895,0.7520472084492604,0.7526539278131635,grid_50_random_folds/ANOVA_L_2_complete/KNN/sub-11_sub-54/task_KNN_0_3824/results.json
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,KNN,sub-11_sub-54,task_KNN_0_3889,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7738853503184714,0.8688575704664505,0.7720681764372682,0.7735673413914473,0.7738853503184714,grid_50_random_folds/ANOVA_L_2_complete/KNN/sub-11_sub-54/task_KNN_0_3889/results.json
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,KNN,sub-11_sub-54,task_KNN_0_5927,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6900212314225053,1.0,0.6863263369708792,0.6879961923954151,0.6900212314225053,grid_50_random_folds/ANOVA_L_2_complete/KNN/sub-11_sub-54/task_KNN_0_5927/results.json
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,KNN,sub-11_sub-59,task_KNN_1_3824,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.464247598719317,0.8936309505252985,0.45090330346841967,0.4891105334698104,0.464247598719317,grid_50_random_folds/ANOVA_L_2_complete/KNN/sub-11_sub-59/task_KNN_1_3824/results.json
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,KNN,sub-11_sub-59,task_KNN_1_3889,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4535752401280683,0.8748636094397855,0.4327937209790821,0.4796416135690928,0.4535752401280683,grid_50_random_folds/ANOVA_L_2_complete/KNN/sub-11_sub-59/task_KNN_1_3889/results.json
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,KNN,sub-11_sub-59,task_KNN_1_5927,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.45570971184631803,1.0,0.4524939228672819,0.4726726756480556,0.45570971184631803,grid_50_random_folds/ANOVA_L_2_complete/KNN/sub-11_sub-59/task_KNN_1_5927/results.json
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,KNN,sub-13_sub-59,task_KNN_2_3824,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5493767976989453,0.8903381189202715,0.524996162348627,0.564294295441815,0.5493767976989453,grid_50_random_folds/ANOVA_L_2_complete/KNN/sub-13_sub-59/task_KNN_2_3824/results.json
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,KNN,sub-13_sub-59,task_KNN_2_3889,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.5417066155321189,0.8712583278596228,0.5015030342000563,0.5647155992407958,0.5417066155321189,grid_50_random_folds/ANOVA_L_2_complete/KNN/sub-13_sub-59/task_KNN_2_3889/results.json
ANOVA_L_2_Random,grid_50_random_folds/ANOVA_L_2_complete,LPSO_Random_50,ANOVA,2,KNN,sub-13_sub-59,task_KNN_2_5927,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5282837967401726,1.0,0.5159672959182124,0.5327796732007466,0.5282837967401726,grid_50_random_folds/ANOVA_L_2_complete/KNN/sub-13_sub-59/task_KNN_2_5927/results.json
