Subject,Fold,Model,Accuracy
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.1601
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.0000
sub-42,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.0214
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,KNN,0.9840
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,MLP_(Neural_Network),0.2189
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,SVM,0.0000
sub-42,sub-4_sub-5_sub-6_sub-40_sub-41_sub-42,XGBoost,0.0089
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.3078
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.0019
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.0000
sub-43,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.0019
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.9776
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.0056
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.0075
sub-43,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.9757
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.9812
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.4555
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.4606
sub-44,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.9418
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,KNN,0.9730
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,MLP_(Neural_Network),0.0097
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,SVM,0.0077
sub-45,sub-7_sub-8_sub-9_sub-43_sub-44_sub-45,XGBoost,0.9517
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.9591
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.3140
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.3720
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.5247
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.9941
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.1863
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.2078
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.3412
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.9905
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.3459
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.3422
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.4405
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.9981
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),1.0000
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.0000
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.3487
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.9896
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),1.0000
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.0000
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.0230
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.9975
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),1.0000
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.0000
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.0373
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.8175
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.1250
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.0317
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.0952
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.7411
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.0379
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.0021
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.0484
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.8491
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.0170
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.0019
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.0377
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.5920
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.1917
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.0474
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.0702
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.8584
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.0649
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.0354
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.0029
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.6692
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.0421
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.0000
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.0459
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.8126
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.0020
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.0000
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.0020
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.7048
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.0000
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.0000
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.0000
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.6934
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.0000
