Subject,Fold,Model,Accuracy
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,KNN,0.8598
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,MLP_(Neural_Network),0.9932
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,SVM,1.0000
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,XGBoost,0.9983
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,KNN,0.0760
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,MLP_(Neural_Network),0.9983
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,SVM,1.0000
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,XGBoost,0.9949
sub-16,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58,KNN,0.4778
sub-16,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58,MLP_(Neural_Network),1.0000
sub-16,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58,SVM,1.0000
sub-16,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58,XGBoost,0.9130
sub-16,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,KNN,0.9130
sub-16,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,MLP_(Neural_Network),1.0000
sub-16,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,SVM,1.0000
sub-16,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,XGBoost,1.0000
sub-16,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,KNN,0.9317
sub-16,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,MLP_(Neural_Network),0.9983
sub-16,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,SVM,1.0000
sub-16,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,XGBoost,0.9573
sub-17,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,KNN,0.0073
sub-17,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,MLP_(Neural_Network),1.0000
sub-17,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,SVM,1.0000
sub-17,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,XGBoost,0.8352
sub-17,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,KNN,0.9158
sub-17,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,MLP_(Neural_Network),1.0000
sub-17,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,SVM,1.0000
sub-17,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,XGBoost,1.0000
sub-17,sub-17_sub-34_sub-36_sub-37_sub-58_sub-64,KNN,0.8773
sub-17,sub-17_sub-34_sub-36_sub-37_sub-58_sub-64,MLP_(Neural_Network),1.0000
sub-17,sub-17_sub-34_sub-36_sub-37_sub-58_sub-64,SVM,1.0000
sub-17,sub-17_sub-34_sub-36_sub-37_sub-58_sub-64,XGBoost,0.9799
sub-17,sub-17_sub-35_sub-36_sub-50_sub-55_sub-60,KNN,0.5366
sub-17,sub-17_sub-35_sub-36_sub-50_sub-55_sub-60,MLP_(Neural_Network),1.0000
sub-17,sub-17_sub-35_sub-36_sub-50_sub-55_sub-60,SVM,1.0000
